date,Squid Game,dalgona candy,isPartial,content_name,food_name,release_date,Culinary Class Wars,Korean cooking,Itaewon Class,Korean street food,Parasite,Jjapaguri
2021-08-01,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-02,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-03,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-04,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-05,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-06,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-07,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-08,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-09,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-10,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-11,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-12,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-13,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-14,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-15,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-16,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-17,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-18,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-19,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-20,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-21,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-22,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-23,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-24,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-25,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-26,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-27,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-28,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-29,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-30,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-08-31,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-01,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-02,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-03,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-04,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-05,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-06,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-07,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-08,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-09,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-10,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-11,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-12,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-13,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-14,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-15,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-16,0.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-17,3.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
2021-09-18,11.0,0.0,False,Squid Game,dalgona candy,2021-09-17,,,,,,
